year,cap_bn,ep_bn,roic,wacc,spread,creators,n
2001,7533.3502,-32.7666,9.087507689075705,9.519549557380195,-0.43204186830448954,24,32
2002,6460.4056,252.84570000000002,11.511525830359632,7.597046189793409,3.914479640566223,33,40
2003,3923.7642,-81.70240000000001,5.722891163031662,7.8045006422659124,-2.0816094792342508,23,40
2004,7742.716500000002,480.0362,14.510980089739821,8.311817790048233,6.199162299691588,34,38
2005,4188.495,50.81150000000002,9.933075391041413,8.722539641565767,1.2105357494756461,27,39
2006,4565.2572,24.341,9.900743073358496,9.368388708745698,0.5323543646127984,27,38
2007,4679.175300000001,92.13330000000002,10.822385884538242,8.852527104081778,1.9698587804564642,27,37
2008,4757.972100000001,181.4784,11.944684033771443,8.132305072364757,3.8123789614066865,29,38
2009,4581.690200000001,116.02529999999999,11.09322376881789,8.559375194551563,2.533848574266326,24,37
2010,3610.7388,127.0705,11.64915339569841,8.129305754268351,3.519847641430058,22,36
2011,3978.133300000001,214.97,13.350776665528024,7.947429941827236,5.403346723700787,28,36
2012,4261.9054,280.8205,14.199658384956178,7.609529632684948,6.59012875227123,31,36
2013,7995.2065,300.92250000000007,10.693443308937674,6.929280287382196,3.764163021555478,58,72
2014,10959.488,761.8212,13.355137483977353,6.404217536530903,6.95091994744645,80,88
2015,11610.774399999998,536.5343999999999,11.592131168529122,6.970619595537055,4.621511572992066,76,88
2016,11740.556799999998,525.3336,10.748811499553412,6.274128104043585,4.474683395509827,74,89
2017,11332.775099999997,628.5339999999999,11.805690254896176,6.259054263416912,5.546635991479263,76,89
2018,11816.694599999999,728.0751,13.575756257168566,7.41434148471604,6.161414772452526,80,89
2019,12571.2718,786.9671,12.43081711796256,6.17207173557412,6.25874538238844,79,89
2020,13584.0385,807.9656,10.102494977763794,4.154761630202977,5.947733347560817,74,89
2021,13613.961700000002,1194.2694,14.118709127189625,5.347663748973233,8.771045378216392,76,89
2022,14296.713899999999,872.6412,15.214425595940618,9.110634807485377,6.103790788455241,68,89
2023,15373.858900000001,982.8289,13.90642251868202,7.51364212234314,6.392780396338879,74,90
2024,16197.823400000001,1071.4669000000001,14.485067762684707,7.8714741836856925,6.613593578999015,78,90
2025,17357.6158,1361.6667999999997,14.883530953254535,7.0387309219622205,7.844800031292315,75,90
