ind,yrs,hit,med_spread,min_spread,sd_spread,spread25,roic25,wacc25,ep25,cap25,firms25,spread_e,spread_l,roic_e,roic_l,wacc_e,wacc_l,ep_e,ep_l,cap_e,cap_l,cap14,shock22,d_spread,d_roic,d_wacc,d_ep,cap_growth,cap_per_firm,reclass_years,reclassified
Advertising,12,100.0,45.865,19.92,17.46231136424437,19.92,27.72,7.81,2.5668,12.888,52.0,55.922,27.79,62.912,36.194,6.988000000000001,8.406,2.94684,3.0248800000000005,5.5389,11.53918,7.9354,-18.67,-28.132000000000005,-26.718,1.4179999999999993,0.0780400000000005,108.3298127787106,247.84615384615387,[],False
Aerospace/Defense,12,100.0,17.88,4.65,10.2968189777526,8.41,16.01,7.6,20.4027,242.5759,79.0,27.232,7.328,35.206,15.244,7.971999999999999,7.914,32.38176,15.45262,120.9314,211.3052,117.6691,-4.23,-19.904,-19.962000000000003,-0.0579999999999998,-16.929139999999997,74.73145932321961,3070.581012658228,[],False
Air Transport,12,75.0,4.54,-24.64,11.698752717769326,1.2,7.93,6.72,1.6738,138.9294,23.0,8.636,-4.258,14.614,2.120000000000001,5.978,6.376,10.033640000000002,-4.792260000000001,116.5678,128.44531999999998,111.1577,20.74,-12.893999999999998,-12.493999999999998,0.3979999999999997,-14.825900000000004,10.189366188604376,6040.408695652173,[],False
Apparel,12,100.0,8.655000000000001,2.96,2.8339403984237537,8.63,15.77,7.13,3.0895,35.7794,35.0,8.736,10.044,15.47,17.448,6.731999999999999,7.4,3.5505000000000004,3.73398,40.71866,37.4314,39.2089,-3.2200000000000006,1.3079999999999998,1.978000000000001,0.668000000000001,0.1834799999999998,-8.073104566800582,1022.2685714285716,[],False
Auto & Truck,12,16.666666666666664,-1.645,-7.18,2.7617093685548517,-7.13,2.25,9.38,-38.4842,539.5478,33.0,-0.348,-4.604,4.367999999999999,4.358,4.717999999999999,8.964,-1.1014,-22.394,297.94628,462.16417999999993,228.5538,-2.74,-4.256,-0.0099999999999997,4.246000000000001,-21.2926,55.11661363921037,16349.933333333336,[2020],True
Auto Parts,12,100.0,9.265,0.17,6.108113022609331,0.8,8.98,8.18,0.3981,49.9084,35.0,12.862,2.3880000000000003,20.448,10.566,7.584,8.177999999999999,4.67002,1.01154,37.8066,46.39702,48.1745,-8.4,-10.474,-9.882,0.5939999999999985,-3.65848,22.72201150063744,1425.9542857142858,[],False
Beverage (Alcoholic),12,100.0,9.455,5.84,2.597793206830472,9.26,15.74,6.48,3.2198,34.7663,14.0,11.128,9.162,18.432,16.041999999999998,7.308000000000002,6.882000000000001,2.3025400000000005,3.14974,20.84342,34.36742,18.2114,-4.93,-1.966000000000001,-2.390000000000001,-0.426000000000001,0.8471999999999995,64.88378586623497,2483.307142857143,[],False
Beverage (Soft),12,100.0,19.79,14.5,2.8512850638179823,22.7,29.03,6.33,27.3436,120.4566,27.0,18.088,21.962,25.270000000000003,29.262,7.18,7.302,15.89894,23.318639999999995,88.44332,105.82874,85.1867,-3.129999999999999,3.873999999999999,3.991999999999997,0.1219999999999998,7.419699999999995,19.657131821826667,4461.355555555556,[],False
Broadcasting,12,100.0,13.325,6.31,4.2121565591497045,9.48,14.57,5.09,5.2962,55.8726,24.0,15.144,8.274000000000001,21.028,14.01,5.884,5.736000000000001,6.542939999999999,5.496319999999999,43.43522,65.50026,39.8082,-6.160000000000001,-6.869999999999999,-7.017999999999999,-0.1479999999999997,-1.04662,50.79988083403284,2328.025,[],False
Building Materials,12,100.0,12.385000000000002,8.37,5.643343625256863,12.31,20.16,7.85,8.0393,65.30669999999999,41.0,10.382,19.062,17.628,27.462,7.248,8.400000000000002,2.7159000000000004,9.52612,25.758140000000004,52.0706,21.4526,0.2100000000000008,8.68,9.834,1.152000000000002,6.81022,102.15201874048354,1592.8463414634143,[],False
