year,ind,firms,roic,wacc,spread,cap_mn,Invested_Capital_USD_bn,ep_mn,Economic_Profit_USD_bn,flag_negative_wacc,flag_thin_sample,cap_bn,ep_bn
2001,Advertising,36.0,12.02,13.4,-1.38,34559.0,34.559,-478.0,-0.478,False,False,34.559,-0.478
2001,Aerospace/Defense,65.0,12.25,8.25,4.0,232504.8,232.505,9302.2,9.302,False,False,232.5048,9.302200000000001
2001,Air Transport,45.0,14.8,8.23,6.57,183666.0,183.666,12067.5,12.067,False,False,183.666,12.0675
2001,Apparel,54.0,15.19,9.21,5.98,35643.9,35.644,2130.8,2.131,False,False,35.6439,2.1308000000000002
2001,Auto & Truck,21.0,11.11,6.64,4.47,1247462.0,1247.462,55746.9,55.747,False,False,1247.462,55.746900000000004
2001,Auto Parts,65.0,15.34,8.22,7.12,133482.6,133.483,9504.9,9.505,False,False,133.48260000000002,9.5049
2001,Beverage (Alcoholic),24.0,22.77,7.41,15.36,43220.3,43.22,6637.7,6.638,False,False,43.2203,6.6377
2001,Building Materials,52.0,19.26,8.6,10.67,42945.8,42.946,4580.3,4.58,False,False,42.945800000000006,4.5803
2001,Cable TV,27.0,-44.9,8.89,-53.79,298065.8,298.066,-160325.5,-160.325,False,False,298.06579999999997,-160.3255
2001,Chemical (Basic),25.0,16.6,8.65,7.95,162278.8,162.279,12900.6,12.901,False,False,162.2788,12.9006
2001,Chemical (Diversified),33.0,17.03,8.22,8.81,167906.6,167.907,14787.9,14.788,False,False,167.9066,14.7879
2001,Chemical (Specialty),86.0,13.86,8.16,5.7,120202.1,120.202,6849.4,6.849,False,False,120.2021,6.849399999999999
2001,Electrical Equipment,92.0,23.95,11.65,12.29,183675.2,183.675,22581.7,22.582,False,False,183.67520000000002,22.5817
2001,Entertainment,96.0,2.4,11.31,-8.92,789843.2,789.843,-70421.0,-70.421,False,False,789.8431999999999,-70.421
2001,Food Processing,116.0,13.54,7.36,6.18,427849.4,427.849,26431.2,26.431,False,False,427.8494,26.4312
2001,Food Wholesalers,25.0,16.56,8.08,8.48,54699.8,54.7,4638.4,4.638,False,False,54.6998,4.6384
2001,Homebuilding,57.0,11.63,7.76,3.86,68821.7,68.822,2658.3,2.658,False,False,68.82169999999999,2.6583
2001,Hotel/Gaming,85.0,11.46,7.65,3.82,166152.0,166.152,6341.2,6.341,False,False,166.152,6.3412
2001,Household Products,33.0,24.24,8.64,15.6,105332.4,105.332,16429.8,16.43,False,False,105.33239999999999,16.4298
2001,Information Services,19.0,17.16,10.65,6.51,29353.8,29.354,1909.6,1.91,False,False,29.3538,1.9096
2001,Insurance (Life),32.0,0.0,9.19,-9.19,102654.3,102.654,-9429.6,-9.43,False,False,102.6543,-9.4296
2001,Machinery,151.0,11.36,7.89,3.47,213258.3,213.258,7397.9,7.398,False,False,213.2583,7.3979
2001,Packaging & Container,43.0,10.39,6.01,4.37,98187.5,98.188,4292.0,4.292,False,False,98.1875,4.292
2001,Power,19.0,6.91,9.53,-2.62,120471.4,120.471,-3156.9,-3.157,False,False,120.47139999999999,-3.1569000000000003
2001,R.E.I.T.,153.0,5.5,8.38,-2.89,51037.5,51.038,-1473.5,-1.474,False,False,51.0375,-1.4735
2001,Recreation,87.0,13.95,9.32,4.63,78398.0,78.398,3626.2,3.626,False,False,78.398,3.6262
2001,Retail (Special Lines),188.0,16.6,9.63,6.97,155876.8,155.877,10870.6,10.871,False,False,155.87679999999997,10.8706
2001,Semiconductor,118.0,27.22,17.37,9.85,250028.7,250.029,24618.9,24.619,False,False,250.02870000000001,24.6189
2001,Shoe,27.0,17.37,9.14,8.22,16708.9,16.709,1373.8,1.374,False,False,16.7089,1.3738
2001,Telecom. Equipment,141.0,10.69,14.24,-3.54,155047.8,155.048,-5493.4,-5.493,False,False,155.0478,-5.493399999999999
2001,Telecom. Services,208.0,6.6,11.42,-4.83,1626503.6,1626.504,-78529.3,-78.529,False,False,1626.5036,-78.5293
2001,Tobacco,13.0,28.37,7.38,20.99,137512.2,137.512,28862.8,28.863,False,False,137.5122,28.8628
2002,Advertising,38.0,13.72,9.38,4.34,36451.3,36.451,1580.6,1.581,False,False,36.4513,1.5806
2002,Aerospace/Defense,77.0,13.24,6.89,6.36,249341.4,249.341,15846.0,15.846,False,False,249.3414,15.846
2002,Air Transport,43.0,9.32,8.66,0.66,198488.9,198.489,1308.5,1.309,False,False,198.4889,1.3085
2002,Apparel,58.0,14.01,7.46,6.55,36022.6,36.023,2359.0,2.359,False,False,36.0226,2.359
2002,Auto & Truck,23.0,8.86,5.83,3.03,1212306.0,1212.306,36744.2,36.744,False,False,1212.306,36.7442
2002,Auto Parts,62.0,10.46,7.08,3.38,125698.9,125.699,4243.7,4.244,False,False,125.6989,4.2437
2002,Beverage (Alcoholic),23.0,23.11,6.01,17.11,41529.4,41.529,7104.3,7.104,False,False,41.5294,7.1043
2002,Building Materials,53.0,18.62,6.83,11.8,34931.3,34.931,4121.3,4.121,False,False,34.9313,4.1213
2002,Cable TV,26.0,9.3,9.47,-0.17,273975.2,273.975,-471.6,-0.472,False,False,273.97520000000003,-0.4716
2002,Chemical (Basic),22.0,15.31,6.96,8.35,105818.2,105.818,8835.4,8.835,False,False,105.81819999999999,8.8354
2002,Chemical (Diversified),34.0,17.33,6.76,10.57,136526.8,136.527,14437.3,14.437,False,False,136.52679999999998,14.437299999999999
2002,Chemical (Specialty),96.0,13.73,6.88,6.85,105113.9,105.114,7204.6,7.205,False,False,105.1139,7.2046
2002,Computers/Peripherals,176.0,16.38,12.54,3.84,116386.1,116.386,4470.6,4.471,False,False,116.3861,4.4706
2002,Electrical Equipment,94.0,23.77,10.27,13.5,86047.2,86.047,11617.1,11.617,False,False,86.0472,11.6171
